n,lon,lat,GRID_CODE,RASTERVALU,Level
0,117.75,22.00,134.00,9.45,5
1,118.25,22.00,133.00,9.23,0
2,118.75,22.00,128.00,9.09,1
3,119.25,22.00,125.00,8.99,0
4,119.75,22.00,123.00,9.28,2
5,120.25,22.00,120.00,9.52,0
6,120.75,22.00,90.00,6.26,1
7,121.25,22.00,78.00,3.80,0
8,121.75,22.00,120.00,4.37,3
9,122.25,22.00,128.00,3.83,0
10,122.75,22.00,121.00,3.91,1
11,123.25,22.00,117.00,3.93,0
12,123.75,22.00,109.00,3.60,2
13,124.25,22.00,94.00,3.49,0
14,124.75,22.00,92.00,3.90,1
15,125.25,22.00,100.00,4.24,0
16,125.75,22.00,107.00,5.01,4
17,126.25,22.00,105.00,4.99,0
18,126.75,22.00,98.00,5.42,1
19,127.25,22.00,94.00,5.49,0
20,127.75,22.00,94.00,5.50,2
21,128.25,22.00,98.00,5.29,0
22,128.75,22.00,101.00,4.97,1
23,129.25,22.00,99.00,4.93,0
24,129.75,22.00,93.00,5.13,3
25,130.25,22.00,88.00,5.13,0
26,130.75,22.00,85.00,5.23,1
27,131.25,22.00,82.00,5.19,0
28,131.75,22.00,81.00,5.02,2
29,132.25,22.00,78.00,4.75,0
30,117.75,22.50,128.00,9.44,0
31,118.25,22.50,125.00,8.87,0
32,118.75,22.50,125.00,8.19,0
33,119.25,22.50,130.00,8.28,0
34,119.75,22.50,146.00,7.91,0
35,120.25,22.50,175.00,6.12,0
36,120.75,22.50,111.00,2.75,0
37,121.25,22.50,106.00,1.50,0
38,121.75,22.50,133.00,2.49,0
39,122.25,22.50,139.00,3.16,0
40,122.75,22.50,131.00,3.21,0
41,123.25,22.50,124.00,3.63,0
42,123.75,22.50,116.00,3.72,0
43,124.25,22.50,103.00,3.57,0
44,124.75,22.50,101.00,3.90,0
45,125.25,22.50,103.00,4.30,0
46,125.75,22.50,105.00,5.15,0
47,126.25,22.50,103.00,5.34,0
48,126.75,22.50,99.00,5.35,0
49,127.25,22.50,97.00,5.07,0
50,127.75,22.50,99.00,4.84,0
51,128.25,22.50,100.00,4.87,0
52,128.75,22.50,100.00,4.85,0
53,129.25,22.50,100.00,4.99,0
54,129.75,22.50,100.00,4.88,0
55,130.25,22.50,96.00,4.80,0
56,130.75,22.50,88.00,4.97,0
57,131.25,22.50,85.00,4.70,0
58,131.75,22.50,82.00,4.64,0
59,132.25,22.50,76.00,4.70,0
60,117.75,23.00,119.00,8.94,1
61,118.25,23.00,111.00,7.65,0
62,118.75,23.00,100.00,5.24,1
63,119.25,23.00,99.00,2.75,0
64,119.75,23.00,265.00,2.33,1
65,120.25,23.00,281.00,4.81,0
66,120.75,23.00,263.00,1.53,1
67,121.25,23.00,143.00,2.34,0
68,121.75,23.00,158.00,3.97,1
69,122.25,23.00,159.00,2.86,0
70,122.75,23.00,148.00,3.09,1
71,123.25,23.00,137.00,3.47,0
72,123.75,23.00,125.00,3.66,1
73,124.25,23.00,115.00,3.60,0
74,124.75,23.00,110.00,3.68,1
75,125.25,23.00,113.00,4.23,0
76,125.75,23.00,118.00,5.00,1
77,126.25,23.00,113.00,5.49,0
78,126.75,23.00,106.00,5.24,1
79,127.25,23.00,105.00,4.73,0
80,127.75,23.00,98.00,4.65,1
81,128.25,23.00,94.00,4.95,0
82,128.75,23.00,99.00,4.65,1
83,129.25,23.00,106.00,4.36,0
84,129.75,23.00,105.00,4.33,1
85,130.25,23.00,95.00,4.70,0
86,130.75,23.00,88.00,5.06,1
87,131.25,23.00,82.00,5.03,0
88,131.75,23.00,77.00,5.04,1
89,132.25,23.00,74.00,4.81,0
90,117.75,23.50,120.00,5.74,0
91,118.25,23.50,118.00,3.44,0
92,118.75,23.50,87.00,1.12,0
93,119.25,23.50,45.00,0.37,0
94,119.75,23.50,306.00,3.44,0
95,120.25,23.50,307.00,3.77,0
96,120.75,23.50,281.00,1.78,0
97,121.25,23.50,116.00,2.45,0
98,121.75,23.50,168.00,5.15,0
99,122.25,23.50,171.00,4.27,0
100,122.75,23.50,166.00,3.66,0
101,123.25,23.50,149.00,3.92,0
102,123.75,23.50,136.00,3.69,0
103,124.25,23.50,125.00,3.87,0
104,124.75,23.50,118.00,3.78,0
105,125.25,23.50,112.00,4.07,0
